symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ORIENTTECH,INE0PPK01015,2024-09-02,BSE,EQ,T,sell,false,72.000000,334.000000,2530500,1725247800000240703,2024-09-02T09:33:41
VOITHPAPR,INE285C01015,2024-09-02,BSE,EQ,X,sell,false,5.000000,3000.000000,6031400,1725247800001255202,2024-09-02T09:52:19
STYLAMIND,INE239C01020,2024-09-03,NSE,EQ,EQ,buy,false,5.000000,2024.000000,606510231,1300000032872539,2024-09-03T13:58:29
LTIM,INE214T01019,2024-09-03,NSE,EQ,EQ,buy,false,2.000000,6155.000000,407621288,1200000041890042,2024-09-03T14:22:13
INTERARCH,INE00M901018,2024-09-03,NSE,EQ,EQ,buy,false,4.000000,1140.449951,207190854,1100000040391660,2024-09-03T14:24:07
INTERARCH,INE00M901018,2024-09-03,NSE,EQ,EQ,buy,false,4.000000,1140.500000,207190855,1100000040391660,2024-09-03T14:24:07
DYCL,INE600Y01019,2024-09-03,BSE,EQ,B,buy,false,8.000000,565.799988,30264600,1725352053972899273,2024-09-03T14:25:45
DYCL,INE600Y01019,2024-09-03,BSE,EQ,B,buy,false,12.000000,565.750000,30264400,1725352053972899273,2024-09-03T14:25:45
ITBEES,INF204KB15V2,2024-09-03,NSE,EQ,EQ,buy,false,25.000000,46.009998,407723629,1200000042386983,2024-09-03T14:26:43
ITBEES,INF204KB15V2,2024-09-03,NSE,EQ,EQ,buy,false,120.000000,46.029999,407723630,1200000042386983,2024-09-03T14:26:43
ITBEES,INF204KB15V2,2024-09-03,NSE,EQ,EQ,buy,false,5.000000,46.009998,407723628,1200000042386983,2024-09-03T14:26:43
POKARNA,INE637C01025,2024-09-04,NSE,EQ,EQ,sell,false,19.000000,1010.000000,403038464,1200000015096282,2024-09-04T10:09:17
ALKEM,INE540L01014,2024-09-05,BSE,EQ,A,sell,false,1.000000,6292.549805,2728600,1725511613035531758,2024-09-05T11:03:59
POLYCAB,INE455K01017,2024-09-05,NSE,EQ,EQ,buy,false,1.000000,6601.200195,409970980,1200000050992497,2024-09-05T14:50:32
POLYCAB,INE455K01017,2024-09-05,NSE,EQ,EQ,buy,false,1.000000,6601.200195,409975969,1200000051014710,2024-09-05T14:50:44
AMBER,INE371P01015,2024-09-06,NSE,EQ,EQ,buy,false,2.000000,4495.000000,3766295,1000000022985670,2024-09-06T11:25:01
CENTURYPLY,INE348B01021,2024-09-09,NSE,EQ,EQ,buy,false,6.000000,795.450012,7164099,1000000047045645,2024-09-09T15:16:26
ZAGGLE,INE07K301024,2024-09-11,BSE,EQ,B,sell,false,15.000000,417.299988,4121000,1726025400078969076,2024-09-11T11:25:35
ZAGGLE,INE07K301024,2024-09-12,NSE,EQ,EQ,sell,false,6.000000,432.350006,602278268,1300000012043829,2024-09-12T10:02:49
ARVINDFASN,INE955V01021,2024-09-13,BSE,EQ,A,sell,false,6.000000,595.000000,61293700,1726203623438842963,2024-09-13T10:35:12
ARVINDFASN,INE955V01021,2024-09-13,BSE,EQ,A,sell,false,5.000000,595.000000,61341800,1726203623438842963,2024-09-13T10:35:12
TRIVENI,INE256C01024,2024-09-16,BSE,EQ,A,sell,false,2.000000,485.600006,6021800,1726458318477092246,2024-09-16T09:15:32
